utam_origen,porcentaje_Febrero,porcentaje_Marzo,porcentaje_Abril,porcentaje_Mayo,porcentaje_Junio,porcentaje_Julio
UTAM27,0,12.60869565,20.22058824,22.11720227,19.60784314,15
UTAM106,0,38.23529412,30,26.93602694,31.91489362,26.92307692
UTAM96,0,8.552631579,9.278350515,11.11111111,4.411764706,4
UTAM76,7.692307692,8.910891089,20.83333333,24.63768116,20,5.128205128
UTAM58,0,41.66666667,8.441558442,5.411764706,7.228915663,4.511278195
UTAM575,100,6.25,3.75,4.372623574,8.695652174,5.988023952
UTAM88,12.5,22.03389831,27.45098039,36.27760252,29.93630573,43.62934363
UTAM650,0,25,15.10574018,24.70355731,28.26086957,28.82882883
UTAM90,0,19.13043478,26.34408602,17.73700306,36.36363636,23.40425532
UTAM108,20,26.1682243,18.44660194,22.54098361,18.82352941,15.13157895
UTAM610,0,38.70967742,22.22222222,28.27225131,22.86282306,25.27472527
UTAM66,0,6.097560976,9.375,14.07407407,20.68965517,9.734513274
UTAM116,0,24.24242424,18.75,22.48062016,34.28571429,30.18867925
UTAM77,14.28571429,11.76470588,16.66666667,16.42857143,12.68115942,17.85714286
UTAM35,14.28571429,0,7.228915663,17.37193764,27,21.66666667
UTAM12,16.66666667,12.12121212,29.83050847,26.97547684,21.05263158,27.36842105
UTAM53,0,16.99346405,14.43298969,17.39130435,18,20.27027027
UPR3,0,2.564102564,7.407407407,8.421052632,6.25,5.696202532
UTAM690,0,50,100,14.05750799,12.90322581,15.55555556
UTAM501,0,14.46540881,16.93548387,25.53191489,9.090909091,1.851851852
UTAM51,0,25,3.571428571,6.15942029,10.12658228,6.097560976
UTAM571,0,20,7.418397626,10.62355658,3.937007874,18.42105263
UTAM2,0,3.571428571,10.41666667,9.803921569,10,34.61538462
UTAM56,0,5,7.795698925,10.46511628,1.886792453,5.479452055
UTAM9,14.28571429,12.7340824,16.88311688,13.14741036,22.44897959,18.51851852
UPR2,0,20,10,28,12.98701299,26.31578947
UTAM680,0,100,20,11.82634731,20.79646018,75
UTAM37,14.28571429,16.21621622,18.39622642,20.1183432,25,17.66666667
UTAM87,0,4.864864865,7.506053269,28.20512821,5.357142857,7.692307692
UTAM15,0,23.80952381,43.10344828,47.84053156,31.70731707,49
UTAM55,13.15789474,7.063197026,12.34567901,13.88888889,12.12121212,11.2244898
UTAM61,0,0,6.12244898,5.714285714,11.11111111,7.692307692
UTAM574,0,22.58064516,4.761904762,6.75,7.906976744,8.571428571
UTAM89,100,38.88888889,16.12903226,15.01597444,19.56521739,18.18181818
UTAM68,0,6.976744186,5.426356589,11.76470588,12,0
UTAM67,0,6.784660767,11.72413793,10.11235955,5.405405405,8.461538462
UTAM62,6.280193237,9.954751131,7.692307692,25,0,7.692307692
UTAM25,0,16.98113208,31.76470588,37.46630728,38.16793893,38.0733945
UTAM660,0,100,71.42857143,15.18987342,23.23232323,30
UTAM630,0,40,46.15384615,13,22.3880597,11.39240506
UTAM1,0,9.090909091,17.85714286,26.47058824,31.57894737,20.51282051
