utam_origen,porcentaje_Febrero,porcentaje_Marzo,porcentaje_Abril,porcentaje_Mayo,porcentaje_Junio,porcentaje_Julio
UTAM39,2.083333333,10.27837259,9.328358209,28.30188679,19.3877551,12.07729469
UTAM101,4.166666667,11.13490364,32.08955224,104.7169811,43.87755102,18.84057971
UTAM104,4.166666667,7.922912206,23.50746269,67.9245283,29.59183673,13.04347826
UTAM600,0,0,10.07462687,11.32075472,2.040816327,0
UTAM71,0,5.995717345,2.985074627,14.1509434,7.142857143,0.966183575
UTAM85,6.25,19.05781585,6.71641791,9.433962264,5.102040816,2.415458937
UTAM57,0,0.214132762,29.85074627,62.26415094,15.30612245,18.35748792
UTAM78,0,0,1.492537313,27.35849057,11.2244898,6.763285024
UTAM113,16.66666667,1.927194861,1.865671642,19.81132075,2.040816327,2.415458937
UTAM107,0,1.713062099,5.223880597,56.60377358,16.32653061,12.07729469
UTAM74,0,0,7.462686567,7.547169811,5.102040816,5.314009662
UTAM109,2.083333333,4.282655246,8.955223881,33.96226415,16.32653061,14.49275362
UTAM563,0,0,0.373134328,16.03773585,3.06122449,2.415458937
UTAM580,0,0.214132762,2.23880597,16.03773585,2.040816327,4.347826087
UTAM100,18.75,7.708779443,17.1641791,80.18867925,27.55102041,16.90821256
UTAM28,39.58333333,10.06423983,11.19402985,23.58490566,8.163265306,8.695652174
UTAM11,2.083333333,2.78372591,6.343283582,9.433962264,2.040816327,5.314009662
UTAM540,0,0,2.611940299,4.716981132,0,1.449275362
UTAM92,0,1.070663812,5.223880597,23.58490566,7.142857143,9.178743961
UTAM45,2.083333333,3.854389722,6.71641791,14.1509434,5.102040816,4.830917874
UTAM700,0,0,0,9.433962264,9.183673469,0
UTAM69,0,6.209850107,4.47761194,16.03773585,6.12244898,2.898550725
UTAM114,0,1.927194861,1.119402985,13.20754717,5.102040816,6.763285024
UTAM570,0,0.428265525,23.13432836,13.20754717,12.24489796,9.178743961
UTAM117,2.083333333,1.927194861,5.970149254,10.37735849,5.102040816,5.797101449
UPR1,0,1.284796574,3.358208955,6.603773585,1.020408163,4.347826087
